endereco,bairro,cep,id_endereco,id_cidade,id_bairro,lat_char,long_char,lat_num,long_num,cras,creas
Rua Salgueiro,Jardim Recreio,14040210,228767,9560,23358,"","",-21.1747604,-47.8663248,10,5
Rua Pau-Brasil,Jardim Recreio,14040220,228768,9560,23358,"","",-21.1733027,-47.8651271,10,5
Rua Alecrim,Jardim Recreio,14040230,228770,9560,23358,"","",-21.1755979,-47.8654317,10,5
Rua Ângico,Jardim Recreio,14040240,228771,9560,23358,"","",-21.1733838,-47.8644134,10,5
Avenida Cândido Pereira Lima,Jardim Recreio,14040250,228772,9560,23358,"","",-21.1725086,-47.8650742,10,5
Rua Cabreúvas,Jardim Recreio,14040260,228773,9560,23358,"","",-21.1726740,-47.8617571,10,5
Rua Jaqueira,Jardim Recreio,14040270,228774,9560,23358,"","",-21.1720596,-47.8637113,10,5
Praça Myosótis,Jardim Recreio,14040278,228775,9560,23358,"","",-21.1714473,-47.8649177,10,5
Rua Jaracatiá,Jardim Recreio,14040280,228777,9560,23358,"","",-21.1716046,-47.8640735,10,5
Travessa dos Girassóis,Jardim Recreio,14040285,228778,9560,23358,"","",-21.1743893,-47.8674927,10,5
Avenida Abade Constantino,Jardim Recreio,14040290,228779,9560,23358,"","",-21.1710354,-47.8678725,10,5
Praça Petúnias,Jardim Recreio,14040297,228781,9560,23358,"","",-21.1723579,-47.8653641,10,5
Rua Pedro Priolli,Jardim José Sampaio Júnior,14065299,230203,9560,23338,"","",-21.1339343,-47.8261982,11,4
Praça Therezinha Mendonça de Faria,Valentina Figueiredo,14061552,229951,9560,23406,"","",-21.11969990,-47.80631340,11,4
Avenida José Ferreira de Mello Nogueira,Valentina Figueiredo,14061560,229952,9560,23406,"","",-21.1201899,-47.8067371,11,4
Rua Sebastião Dutra Oliveira,Valentina Figueiredo,14061570,229953,9560,23406,"","",-21.1185934,-47.8071222,11,4
Rua Antonieta Fazolin Petean,Valentina Figueiredo,14061580,229954,9560,23406,"","",-21.119626,-47.805266,11,4
Rua Willians Paula Ferreira,Valentina Figueiredo,14061590,229955,9560,23406,"","",-21.119498,-47.804723,11,4
Rua Umberto Berti,Valentina Figueiredo,14061600,229956,9560,23406,"","",-21.1211705,-47.8057926,11,4
Rua João Felipe Elias de Andrade,Valentina Figueiredo,14061610,229957,9560,23406,"","",-21.1202643,-47.8058373,11,4
Rua Professora Leila Najar,Valentina Figueiredo,14061620,229958,9560,23406,"","",-21.1199839,-47.8062387,11,4
Rua Francisco Romualdo de Souza,Valentina Figueiredo,14061630,229959,9560,23406,"","",-21.1199363,-47.8068404,11,4
Rua Pedro Orlandini,Valentina Figueiredo,14061640,229960,9560,23406,"","",-21.1198885,-47.8073998,11,4
Rua William Abduch,Valentina Figueiredo,14061650,229961,9560,23406,"","",-21.11985090,-47.80795130,11,4
Rua Tito Bonagamba,Valentina Figueiredo,14061660,229962,9560,23406,"","",-21.1181099,-47.8087604,11,4
Rua Doutor Francisco Henrique Lino da Rocha,Valentina Figueiredo,14061669,229963,9560,23406,"","",-21.1190322,-47.8080990,11,4
Rua João Gual,Valentina Figueiredo,14061670,229964,9560,23406,"","",-21.1183725,-47.8092259,11,4
Rua Donizeti Osório,Valentina Figueiredo,14061679,229965,9560,23406,"","",-21.11969990,-47.80631340,11,4
Rua Benedito Cyrilo Leite,Valentina Figueiredo,14061680,229966,9560,23406,"","",-21.1175516,-47.8094805,11,4
Rua Mansueto Bonaccorsi,Valentina Figueiredo,14061690,229967,9560,23406,"","",-21.11841590,-47.81001500,11,4
Rua Tenente Joel Gomes,Valentina Figueiredo,14061699,229968,9560,23406,"","",-21.1177561,-47.8100260,11,4
Rua Nazareno Caporalli,Valentina Figueiredo,14061700,229969,9560,23406,"","",-21.11698480,-47.81029790,11,4
Rua Miguel Evangelista,Valentina Figueiredo,14061709,229970,9560,23406,"","",-21.1175816,-47.8102775,11,4
Travessa Buriti,Vila Pompéia,14060618,229799,9560,23425,"","",-21.1400345,-47.8183768,11,4
Rua Aloísio de Azevedo,Jardim Morumbi,14030803,228281,9560,60146,"","",-21.1944186,-47.8389378,5,5
Praça Íride Leone,Jardim Maria Goretti,14030299,228175,9560,23347,"","",-21.190475,-47.835166,5,5
Rodovia Prefeito Antônio Duarte Nogueira,Jardim Progresso,14031800,228438,9560,30976,"","",-21.2111460,-47.8469135,5,5
Rua Valter Juliano Gonçalves,Jardim Progresso,14031805,228439,9560,30976,"","",-21.2047974,-47.8525529,5,5
Rua Eduardo Fernando Nascimento,Jardim Progresso,14031825,228455,9560,30976,"","",-21.2045801,-47.8511454,5,5
Avenida Alto da Boa Vista,Jardim Progresso,14031850,228471,9560,30976,"","",-21.2080414,-47.8529987,5,5
Rua Antídio de Almeida,Núcleo Vida Nova,14031262,228336,9560,42994,"","",-21.206044,-47.833441,5,5
Rua Antônio Zinatto,Núcleo Vida Nova,14031263,228337,9560,42994,"","",-21.206604,-47.833293,5,5
Rua Deolinda Zunfrilli,Núcleo Vida Nova,14031264,228338,9560,42994,"","",-21.206982,-47.832883,5,5
Rua Geny Biagioni Veiga,Núcleo Vida Nova,14031265,228339,9560,42994,"","",-21.206614,-47.833735,5,5
Rua José Antonio da Silva,Portal da Mata,14033043,228510,9560,60556,"","",-21.2183897,-47.8535185,5,5
Alameda Roberto Diniz Guimarães,Portal da Mata,14033030,228498,9560,60556,"","",-21.220309,-47.852036,5,5
Rua Primo Tronco,Vila Virgínia,14030020,228128,9560,23430,"","",-21.1858887,-47.8203481,5,5
Rua João Rossiti,Vila Virgínia,14030030,228129,9560,23430,"","",-21.1884607,-47.8211877,5,5
Avenida Álvaro de Lima,Vila Virgínia,14030040,228130,9560,23430,"","",-21.1821651,-47.8197533,5,5
Avenida Álvaro de Lima,Vila Virgínia,14030050,228131,9560,23430,"","",-21.1821651,-47.8197533,5,5
Rua Guatapará,Vila Virgínia,14030060,228132,9560,23430,"","",-21.1782456,-47.8197691,5,5
Travessa Antônio Seabra,Vila Virgínia,14030067,228133,9560,23430,"","",-21.1779720,-47.8189015,5,5
Rua Riachuelo,Vila Virgínia,14030068,228134,9560,23430,"","",-21.1780183,-47.8185798,5,5
Travessa Felipe Camarão,Vila Virgínia,14030069,228135,9560,23430,"","",-21.1778285,-47.8211167,5,5
Rua Vitória,Vila Virgínia,14030070,228136,9560,23430,"","",-21.1796036,-47.8211220,5,5
Rua Ana Neri,Vila Virgínia,14030080,228137,9560,23430,"","",-21.1795177,-47.8199831,5,5
Rua Ângelo Mestriner,Vila Virgínia,14030090,228138,9560,23430,"","",-21.1818071,-47.8208439,5,5
