UF,IBGE,COD_FAMILIAR,DT_HORA_ACAO,COD_MOTIVO,MOTIVO                                                                                           ,
SP,3543402,3215401584,24/11/2025 21:48:58,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3215565854,16/06/2025 01:18:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3215565854,12/07/2025 16:22:13,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3217556003,11/10/2025 18:36:17,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3222694745,16/06/2025 01:18:30,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3222694745,08/11/2025 13:25:56,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3226845101,16/06/2025 01:18:30,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3235152741,16/06/2025 01:18:30,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3243054788,16/06/2025 01:18:30,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3250335444,12/07/2025 22:53:27,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3250335444,14/09/2024 07:52:33,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3250335444,09/11/2024 08:34:32,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3250469050,09/08/2025 16:50:56,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3261563052,13/09/2025 22:39:21,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3288008130,15/06/2025 22:13:28,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3288008130,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3291210140,11/10/2025 17:05:41,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3291210140,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3307677632,16/06/2025 01:19:26,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3307677632,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3307882805,08/11/2025 16:36:51,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3322961214,16/06/2025 01:19:53,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3322961214,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3323381858,29/07/2025 22:29:57,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3328046828,15/06/2025 22:13:45,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3328046828,16/06/2025 01:19:53,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3328046828,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3334974499,16/06/2025 02:37:40,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3348425816,16/06/2025 02:17:14,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3348743788,11/10/2025 18:37:16,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3355344575,13/09/2025 22:39:43,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3355432199,08/11/2025 16:37:03,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3356130986,16/06/2025 01:20:22,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3361617863,24/11/2025 21:50:08,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3363471890,16/06/2025 01:20:22,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3363471890,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3363964650,11/10/2025 18:37:16,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3398501400,11/10/2025 17:06:09,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3398501400,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3402985020,13/09/2025 22:39:56,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3402985020,15/06/2024 12:01:51,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3402985020,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3411682388,11/10/2025 18:37:46,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3426146223,09/08/2025 16:51:47,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3426146223,16/06/2025 01:21:19,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3426146223,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3429312370,09/08/2025 16:51:48,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3429312370,16/06/2025 01:21:19,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3429750725,16/06/2025 01:21:19,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3429750725,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3439333302,12/07/2025 22:54:23,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3439333302,24/06/2025 12:02:42,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3440607488,12/07/2025 22:54:23,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3448772305,09/08/2025 16:51:55,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3448772305,14/09/2024 07:54:10,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3448772305,29/07/2024 18:57:39,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3454744229,02/09/2025 18:44:58,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3456030878,12/07/2025 22:54:28,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3461417297,11/10/2025 18:38:17,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3474474227,15/12/2025 05:40:21,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3475435292,13/09/2025 22:40:14,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3475435292,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3475782502,15/12/2025 06:53:18,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3475977001,11/10/2025 17:06:30,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3475977001,15/06/2024 10:31:37,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3475977001,16/06/2025 01:22:15,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3475977001,16/12/2023 04:23:21,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3476391515,13/07/2025 00:12:03,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3486264796,09/08/2025 16:52:07,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3486264796,29/07/2024 18:58:06,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3494625506,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3498859587,09/08/2025 16:52:11,1000,CADASTRO EXCLUIDO DA BASE DO CADASTRO UNICO                           ,                       
SP,3543402,3498859587,29/10/2024 22:17:20,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3502419884,11/10/2025 19:12:20,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3502419884,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3520953501,29/07/2025 22:31:16,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3521040402,12/07/2025 22:54:49,1005,RENDA FAMILIAR POR PESSOA SUPERIOR AO LIMITE ESTABELECIDO PELA REGRA D,                       
SP,3543402,3531772619,11/10/2025 18:38:46,1037,FIM DO PRAZO LIMITE DA REGRA DE PROTECAO                              ,                       
SP,3543402,3531772619,15/12/2025 00:08:32,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
SP,3543402,3537443528,02/09/2025 18:45:24,1042,FAMILIA COM CADASTRO DESATUALIZADO                                    ,                       
